ProfessorName,Number5s,Number4s,Number3s,Number2s,Number1s
"Sturgis, N",9,5,1,1,3
"Pullen, K",1,5,6,1,1
"Ivashkiv, R",1,5,1,1,0
"Braun, L",4,10,6,2,2
"Qayyum, F",0,11,1,0,1
"Chakraborty, A",8,3,3,2,2
"Doussard, M",5,5,5,0,3
"Storms, S",5,13,3,4,1
"Mahoney, M",9,6,5,1,2
"Zuckermann, F",11,8,3,0,3
"Maddox, C",4,3,4,6,1
"Lee, S",4,6,5,0,1
"Rosado-Torres, A",13,5,2,2,1
"Gonzalez, D",8,11,6,1,3
"Atienza, P",9,8,4,4,1
"Park, D",1,9,2,3,1
"Zhang, Z",11,8,1,1,3
"Chatterton, A",3,11,6,6,1
"Ciconte, W",10,4,5,4,2
"Williams, D",11,6,5,1,2
"Brown, N",10,8,3,0,3
"Dall'Erba, S",7,7,6,5,0
"Brazee, R",0,10,4,1,2
"Moss, L",13,2,2,0,1
"Xu, Y",14,4,1,1,1
"Hutchins, J",10,7,1,3,0
"Atallah, S",12,3,5,3,0
"Hall, S",6,7,3,5,2
"Shabalina, O",0,6,4,4,0
"Heo, S",9,7,2,0,3
"Pham, G",10,4,4,2,1
"Warren, S",5,5,5,5,0
"Nelson, M",0,11,6,2,0
"Putnam, Z",10,13,4,5,3
"Hagen, W",11,13,2,2,1
"McMillion, D",12,8,2,2,1
"Hunt, I",8,1,3,4,2
"Ridgway, M",10,7,5,2,0
"Parrett, D",6,11,2,5,3
"Cardoso, F",7,4,5,4,1
"Stein, H",14,8,3,2,2
"Cox, N",11,2,2,6,0
"Escamilla, B",2,8,4,2,1
"Orta, A",1,6,3,6,0
"Lehman, D",8,7,6,2,0
"Fok, S",12,12,1,2,2
"Saadah, E",10,1,1,6,1
"Bliss, A",11,7,4,0,0
"Isern, D",12,10,3,0,2
"Mosey, G",10,4,4,5,0
"Kendall, J",7,2,1,1,2
"Rosenthal, L",10,12,6,1,3
"Reitz, E",6,7,2,0,0
"Burkus-Chasson, A",3,7,5,4,0
"Gunji-Ballsrud, J",2,11,1,1,0
"Cole, P",1,7,2,5,3
"Wong, T",3,6,3,1,2
"Souyris, S",7,2,6,0,1
"Guggenheim, D",3,4,2,3,2
"Gill, S",6,2,2,4,1
"Reinhard, D",0,4,6,5,0
"Bruce, J",6,4,2,5,3
"Shavitt, S",3,8,1,0,1
"Shen, J",8,8,3,4,3
"Rodas, M",13,5,5,1,0
"Shin, S",1,2,6,3,1
"Xu, M",14,13,1,4,2
"Guo, Y",6,1,1,3,3
"Sakhartov, A",7,1,1,2,3
"Lee, H",6,13,6,0,3
"Ao, J",12,12,2,5,1
"Zhang, W",11,1,5,0,0
"Kertcher, Z",5,3,1,4,0
"Ye, H",3,6,1,3,0
"Jensen, K",7,4,3,1,3
"Jensen, P",8,9,2,0,0
"Cvetkovic, C",13,12,3,3,3
"Fletcher, H",6,13,2,2,1
"Dahl, J",10,7,6,3,0
"Amer, F",14,11,1,4,2
"Makhnenko, R",12,8,2,4,1
"Ouyang, Y",2,2,5,6,2
"Duarte, C",12,7,5,5,3
"Zhao, H",11,5,1,6,2
"Trinh, B",3,5,3,1,3
"Burke, M",3,4,3,4,2
"Fout, A",3,3,1,1,3
"Han, H",11,8,2,2,3
"Pogorelov, T",10,5,3,0,3
"Su, T",14,12,3,1,3
"Schwingel, A",1,6,4,4,1
"Guigma, T",3,5,6,4,2
"Gao, X",8,13,4,5,1
"James, C",12,8,3,1,2
"Moermond, V",5,1,5,6,1
"Crenshaw, M",0,9,6,3,0
"Smith, S",11,6,4,3,2
"D'Angelo, C",4,4,2,2,3
"Castillo, N",0,12,3,1,0
"Nunez Cortez, I",7,6,5,5,2
"Krist, C",3,5,2,6,3
"Furner, J",4,5,5,5,2
"Merkley, K",4,6,2,5,1
"Smith, A",6,11,5,1,2
"Scheele, G",0,11,2,6,3
"Traill, A",6,12,6,5,1
"Freestone, K",8,2,1,2,3
"Hannan, S",3,7,4,5,3
"Johnson, L",3,1,4,5,3
"Guntzviller, L",4,6,5,6,0
"Poole, M",0,6,3,2,2
"Huff, B",9,3,5,2,3
"Liao, D",6,5,4,6,1
"Pulido, M",6,9,1,4,3
"Golding, W",4,7,6,5,2
"Caughlin, J",14,3,5,5,2
"Christianson, R",9,9,1,2,1
"Leakey, A",4,1,3,3,0
"Heaton, E",12,9,5,3,3
"Davis, N",2,6,6,4,3
"Zilles, C",1,13,1,2,1
"Asplund, J",4,5,6,0,3
"Fischer, P",9,5,1,6,1
"Bailey, M",1,13,5,3,1
"Sinha, S",10,12,2,4,2
"Forbes, M",13,9,5,0,3
"Rauchwerger, L",0,11,1,3,2
"Hauser, K",0,1,4,5,1
"Torrellas, J",8,2,1,4,1
"Soltanaghai, E",3,4,1,0,1
"Chandrasekharan, E",3,8,4,4,3
"Ringer, T",3,1,2,4,2
"Harris, R",3,7,4,2,2
"Emadian, E",11,11,2,5,2
"Beck, K",13,7,5,5,3
"Anderson, B",9,7,5,6,3
"Mininsohn, S",0,5,6,5,1
"MacMaster, C",1,10,6,3,2
"Oliver, C",12,11,6,1,1
"Zhao, Y",8,12,4,1,2
"Shanbhag, N",12,5,4,1,1
"Kalbarczyk, Z",7,10,1,3,3
"Han, A",5,13,1,4,0
"Haken, L",6,10,3,3,3
"Bernhard, J",4,3,6,0,3
"Kim, J",9,4,4,3,0
"Dullerud, G",3,5,4,2,3
"Viswanath, P",2,8,1,2,0
"Bao, D",11,13,6,5,2
"Sun, X",3,11,4,4,3
"Mocanu, T",6,9,3,1,3
"Ahmadizadeh, M",12,10,1,6,1
"Oolman, J",6,12,2,4,0
"He, S",4,8,6,0,2
"Stocker, A",2,13,2,3,2
"Gualavisi Diaz, M",10,6,3,5,1
"Yang, Y",10,12,3,2,1
"Romero, M",1,9,1,5,2
"Wang, C",5,12,2,4,0
"Liu, X",14,13,4,2,3
"Bauer, A",9,11,6,6,0
"Arango Isaza, M",9,4,3,4,0
"Zhao, R",14,10,3,0,3
"Arzumanyan, M",1,9,1,1,1
"Arvin-Rad, H",14,13,1,4,2
"Batista Guerra, M",11,6,2,2,0
"Howard, G",0,2,4,5,0
"Agiakloglou, C",12,12,5,6,3
"Foellmer, M",10,5,4,0,0
"Garcia-Villegas, L",9,6,6,2,2
"Coder, E",14,3,1,1,0
"Gillespie, M",5,4,4,6,3
"Garner, A",13,7,4,1,2
"Johnson, M",12,3,4,1,1
"Elassi, A",8,13,6,4,1
"Nachreiner, C",4,3,1,3,0
"Favila, I",4,11,1,6,0
"Blumthal, M",5,10,5,4,0
"Lafond, B",14,3,5,4,0
"Slobodnik, S",13,2,5,0,0
"Hartley-Kroeger, F",6,13,5,2,0
"Brakke, C",6,1,3,4,0
"Pollock, A",5,3,6,3,1
"Norcross, K",14,13,1,0,3
"Larkin, M",4,4,1,4,2
"Stewart, C",9,3,1,3,2
"Henningsen, K",2,5,5,0,2
"Druhet, H",13,7,5,2,2
"Wu, P",6,2,2,0,0
"Villanueva, C",10,10,3,4,3
"Gupta, P",9,3,1,3,3
"Duncan, R",9,10,6,1,0
"Livingston, C",2,3,1,0,0
"Huntt, M",14,9,3,2,3
"Huang, W",1,1,1,5,0
"Del Real Viramo, J",12,13,4,1,2
"Roegman, R",1,12,3,4,0
"Jacobs, R",1,9,3,0,2
"Keyser, G",6,2,1,5,0
"Demirkaya, O",4,9,6,5,1
"Ye, M",3,5,5,0,3
"Kargar, M",4,9,5,4,1
"Yang, X",9,4,5,2,1
"Molitor, D",5,7,2,4,2
"Cienciala, P",10,4,6,1,1
"Roberts, N",12,9,6,1,1
"Best, J",14,5,6,1,3
"Wu, M",12,13,1,6,3
"Winata, F",9,1,6,3,2
"Wang, S",11,10,3,6,0
"Han, S",12,12,6,5,0
"Long, A",7,10,1,5,0
"Barklage, M",13,10,4,2,2
"Guo, L",9,7,6,6,1
"Wade, M",12,3,3,5,1
"Casey, M",13,11,1,1,0
"Jamal, M",8,9,2,2,2
"Kilgore, J",14,3,2,2,2
"Singh, G",2,10,4,4,0
"Kim, A",1,12,3,1,3
"Wilson, M",4,10,3,3,2
"Vergara Bracamo, D",2,6,1,0,3
"Hernandez, J",6,1,4,1,3
"Cate, S",14,10,2,3,1
"Mahaffey, V",11,8,3,0,2
"Cai, T",2,9,6,1,2
"Hughes, R",3,6,1,6,1
"Munoz, L",12,9,5,4,0
"Thomann Mitchel, E",8,12,3,6,0
"Coskun, N",2,12,6,2,2
"Mandala, R",13,13,6,3,2
"LoBue, A",3,6,4,2,3
"Chen, X",14,6,4,0,1
"Liska, E",1,11,1,6,1
"Brosseder, C",11,13,1,0,3
"Sundarsingh, A",6,8,1,3,1
"Khudzik, S",10,4,2,6,2
"Mathisen, R",13,5,3,4,1
"Allen, R",0,13,6,4,3
"Bradley, M",13,11,5,3,1
"Ramirez, Y",14,4,2,0,0
"McLaughlin, M",5,9,4,3,3
"van der Velde, A",2,12,2,5,2
"Day, T",14,10,3,4,1
"Hind, S",11,6,4,0,2
"O'Dwyer, A",0,5,6,1,1
"Ming, R",2,7,3,0,1
"Stone, C",5,9,5,4,3
"O'Dwyer, J",14,12,5,2,0
"Chandrasekaran, K",1,4,2,6,0
"Wooldridge, A",4,2,1,1,0
"Jacobson, S",0,13,3,2,2
"Sun, R",5,8,5,1,1
"Nick Zinat Mati, H",0,6,2,3,2
"Nunez-Corrales, S",2,9,4,1,1
"Schneider, J",2,1,1,0,0
"Bonn, M",3,5,6,5,3
"Knutson, E",0,5,6,4,0
"Stier, Z",5,1,6,0,2
"Wickett, K",2,7,1,5,0
"Bisbee, K",4,3,5,6,1
"Wang, Y",2,2,4,5,1
"Shasteen, R",9,5,4,6,0
"Song, Y",1,9,5,6,1
"La Barre, K",8,1,6,4,0
"DeCandido, R",5,8,4,1,2
"Abney, A",6,12,1,4,3
"Choi, I",6,6,2,5,1
"Mead-Harvey, B",5,11,3,1,1
"Usher, N",5,2,6,0,2
"Johnson, B",14,12,3,5,1
"Holden, B",12,1,5,4,3
"Miller, K",4,12,1,1,1
"Guzman, J",5,4,2,2,0
"Kim, J",4,2,5,5,3
"Kinder, C",8,13,5,6,0
"Barnes, D",14,9,4,1,1
"Morgan, A",10,10,6,4,3
"Kim, Y",4,1,1,2,1
"Smith, N",14,8,5,3,2
"Ison, S",4,5,3,4,3
"Ren, S",10,1,2,2,3
"Erlenbach, E",6,13,2,4,1
"Evans, A",13,7,3,3,2
"Downie, S",9,4,6,2,0
"Munoz Gomez, D",0,2,3,4,0
"Broscritto, E",9,8,2,5,2
"Carvalho Teixei, B",14,6,4,3,2
"Amar, V",10,9,5,2,2
"Mazzone, J",4,5,3,4,1
"Moritz, S",10,3,3,0,2
"Sharpe, N",7,9,3,0,2
"Bohm, J",4,5,1,3,0
"Heald, P",14,7,6,1,3
"Davey, W",5,13,1,3,3
"Brown, K",7,4,4,5,3
"Johnson, C",2,2,4,0,2
"Riordan, C",2,6,1,1,0
"Weaver, A",4,2,2,6,2
"Le, G",3,5,5,3,3
"Abdulla, W",13,13,5,2,1
"Atiles, A",6,12,6,2,0
"Casar, A",12,5,5,3,1
"Sun, Y",10,8,5,4,1
"Pierce, L",7,7,6,0,1
"Garcia, L",9,5,6,3,3
"Caraves, J",5,7,5,4,3
"Barragan Mirand, J",1,3,4,6,3
"Ju, R",10,6,5,5,2
"Gu, J",13,8,4,0,1
"Turnock, J",12,7,4,2,0
"Long, M",4,4,1,1,3
"McConnell, R",8,9,4,4,1
"Rennie, R",6,10,1,2,2
"Guzman, R",1,3,6,0,3
"Barron, A",13,9,1,2,3
"DeVille, L",11,13,3,5,3
"English, S",3,7,4,3,2
"Duursma, I",7,6,1,1,1
"Kim, D",3,6,6,6,0
"Shankar, I",5,2,3,1,1
"Rivier, D",14,5,3,0,1
"Anakk, S",14,4,2,0,0
"Pulletikurthi, V",5,13,6,3,0
"Smith, K",6,10,6,4,3
"Saif, M",6,10,5,3,2
"Vakakis, A",12,10,4,0,1
"Pei, Y",3,9,5,5,1
"Braun, P",4,7,5,4,2
"Sardela, M",0,11,1,1,1
"Yeung, A",8,11,5,2,1
"Eagen, M",5,10,4,4,0
"Vallier, N",1,2,5,3,2
"Nichols, J",4,5,6,5,2
"Fairbanks, S",12,3,6,0,2
"Harris, D",6,6,3,5,0
"Peterson, E",10,1,6,5,1
"Messina, A",5,5,5,4,0
"Mettler, J",7,5,5,3,3
"Zhang, Y",2,1,3,2,2
"Brawn, J",6,3,3,2,2
"Golebie, E",6,7,4,1,3
"Castle, S",8,7,1,3,1
"Landon, A",13,6,6,1,1
"Larson, E",9,8,2,1,2
"Madruga, M",8,1,5,5,1
"Fitts, J",4,1,2,6,0
"Weinberg, S",12,8,1,2,0
"Del Pinal, G",3,9,1,6,1
"Ellis, A",3,11,2,6,1
"Neufeld, E",2,6,4,4,0
"Goldschmidt, E",14,8,3,2,1
"Hooberman, B",1,6,4,1,3
"Adshead, P",5,5,6,3,0
"Giannetta, R",2,9,1,3,3
"Weaver, C",2,9,3,5,1
"Shelton, J",0,2,5,1,1
"Clark, B",12,4,5,5,0
"Song, J",7,7,1,4,3
"Jung, S",13,13,1,3,3
"Khan, A",10,9,1,6,2
"Cho, H",10,2,3,0,3
"Kim, S",5,11,3,2,0
"Yang, Y",11,13,3,6,0
"Wong, C",2,4,4,1,1
"Simons, D",10,2,2,6,2
"Kwapil, T",8,12,2,6,3
"Tang, C",8,13,1,5,0
"Shipstead, Z",3,11,2,3,0
"Javalagi, A",1,13,6,6,2
"Zimmerman, B",7,10,4,2,1
"Banerjee, S",1,4,3,3,3
"Spielmann, J",7,8,3,4,0
"Kosciulek, J",4,12,5,3,0
"Folkenroth, E",14,9,5,1,0
"Weiss, D",10,5,4,1,0
"Ali, M",5,13,3,4,0
"Callahan, C",7,3,6,5,3
"Liu, M",5,11,5,6,2
"Wachter, C",5,8,5,3,3
"Hardin, D",0,2,4,4,2
"Chung, W",8,1,2,0,2
"Park, J",7,12,5,6,1
"Lee, W",2,6,5,3,1
"Sobol, V",14,1,1,6,0
"Duff, B",12,10,5,6,1
"McIlrath, M",6,2,2,5,0
"Almeida de Souz, J",13,2,6,3,0
"Beck, C",12,7,4,0,3
"Jain, N",8,1,2,4,3
"Bottalico, P",3,1,4,2,3
"Deshaies, S",10,8,4,6,2
"Rasheed, U",10,10,6,5,1
"Puckett, C",13,2,4,2,3
"Eliyahu, M",7,1,6,2,3
"Mendenhall, R",9,2,6,2,1
"McNulty, D",4,13,2,2,2
"Miller, L",5,5,5,3,0
"Leicht, K",4,12,3,2,2
"Liao, T",11,9,6,3,0
"Mauck, C",14,1,3,3,1
"Bentley, B",2,13,1,0,1
"Wegmann, K",2,1,3,0,3
"Leytham Powell, T",11,1,2,3,3
"Tan, K",5,13,6,3,0
"Herzog, A",13,4,1,5,3
"Sun, K",6,2,6,5,3
"Liechty, J",8,8,6,6,3
"Waters, M",11,5,6,6,2
"Anton Lobato, M",13,12,2,0,1
"Reger, W",11,1,1,0,1
"Fireman, E",14,7,5,6,3
"Yun, S",2,7,4,4,1
"Zhang, S",13,3,2,5,0
"Martinez Vargas, P",13,12,1,5,0
"Ertekin, E",0,6,2,6,3
"Mehta, P",13,8,3,0,0
"Morrill, A",14,7,5,5,3
"Higgins, C",8,8,6,4,2
"Fox, R",5,6,6,6,2
"Morgan, T",5,6,5,5,1
"Landon, M",4,7,6,2,3
"Rivera, D",14,10,5,3,1
"Kipp, D",13,13,6,0,3
"Toruno, A",5,11,3,6,3
"Hernandez, E",10,1,1,3,3
"Radice, T",10,8,2,6,3
"Goodell, E",7,5,6,5,3
"Carlson, V",1,9,2,6,1
"Robinson, V",2,11,4,5,2
"Perry, R",14,9,2,3,1
"Schwartz, L",1,1,3,1,3
"Schneider, D",3,10,4,6,3
"Ham, C",12,4,3,1,1
"Barro, M",0,8,1,1,2
"Looney, L",2,3,4,5,0
"Fricke, M",8,2,1,4,3
"Hart, J",11,10,1,5,0
"Lewis, T",0,13,4,3,3
"Ransom, K",6,3,2,4,2
"Hein, R",10,1,1,2,2
"Mitchell, A",6,1,2,4,3
"King, C",0,7,6,0,0
"Avgar, A",10,6,6,4,0
"Carpenter, B",12,9,2,4,0
"McCarthy, R",8,7,5,4,2
"Viswanathan, M",11,7,1,0,3
"Loewenstein, J",13,1,4,1,3
"Laney, D",12,3,5,1,1
"Mehrtens, B",14,6,6,4,1
"Magee, G",7,3,4,5,3
"Browning, M",0,4,5,2,1
"Shoaf, C",4,8,6,4,2
"Chamberlain, R",13,2,2,0,2
"Abboud, N",5,12,5,5,0
"Steur, J",3,5,4,2,3
"Thakur, H",8,6,3,5,3
"Rice, L",3,6,1,5,3
"Chen, G",0,7,3,3,3
"Hannah, D",4,2,5,5,3
"Iverson, M",13,8,6,3,3
"Dunlap Johnson, K",0,6,6,0,0
"Casquete De La, M",5,4,6,6,1
"Strocchia, I",7,1,6,4,1
"Castro Cantu, S",3,1,3,4,0
"De Jesus-Valent, R",14,10,6,5,2
"Simms, J",2,10,4,1,2
"Hughes, B",6,7,4,1,3
"Krushnowski, J",0,8,1,1,1
"Sougiannis, T",0,8,2,2,2
"Wu, M",5,3,1,5,2
"Davis, J",13,12,1,0,2
"Cai, C",12,6,3,1,0
"Finnegan, A",12,9,5,2,3
"Shumway, T",5,1,3,5,3
"Miller, C",12,8,3,0,2
"Hu, X",11,2,5,0,3
"Cha-Jua, S",10,3,4,2,3
"Bowen, M",1,3,5,6,1
"Carter, A",8,7,4,5,1
"Hoffman, A",12,5,2,6,0
"Ridlon, J",5,6,3,6,0
"Rodriguez Zas, S",5,1,1,5,3
"Rosas, G",4,2,6,2,1
"Verstraete, E",5,12,3,4,2
"Konigsberg, L",1,9,1,3,2
"Malhi, R",0,3,3,4,0
"Brinkworth, J",12,12,1,6,2
"Bo-Linn, I",3,11,3,6,1
"Thomas, N",3,11,6,1,2
"Ruecker, S",10,4,3,1,3
"Robinson, S",2,2,3,5,2
"Vazquez, O",3,4,4,5,1
"Serafini, P",12,5,5,0,2
"Rosenblatt, J",5,12,4,1,0
"Fields, B",13,4,5,3,1
"Sriver, R",9,6,1,1,3
"Wu, A",4,3,4,0,0
"Chhillar, D",0,8,1,2,3
"Mukherjee, U",1,12,4,6,3
"Isakova, V",1,2,4,1,3
"Yun, J",6,5,1,2,0
"Best, C",1,6,3,2,0
"Gaj, T",1,8,3,2,1
"Lam, F",2,1,4,5,0
"Kelly, D",0,10,4,0,2
"Konar, M",9,5,6,3,1
"Tom, J",3,13,4,3,1
"Marinas, B",8,6,3,1,3
"Espinosa Marzal, R",1,2,4,2,3
"Masud, A",10,1,6,4,2
"Gardoni, P",12,9,6,4,1
"Liu, L",11,6,5,5,1
"Shukla, D",6,6,5,0,2
"Kell, D",2,6,5,6,1
"White, M",10,8,1,4,2
"Sarlah, D",5,8,1,0,3
"Nuzzo, R",5,7,3,1,0
"Wang, Y",3,13,4,3,2
"Rinaldi-Miles, A",8,6,5,3,3
"Kersh, R",9,1,1,5,3
"Verone, E",4,13,3,4,1
"Lyons, L",0,6,1,4,1
"Harris, J",4,11,3,3,1
"Tissenbaum, M",11,1,6,1,0
"Sinha, S",14,6,3,1,3
"Putri, N",9,1,2,3,2
"Dawson, A",9,10,1,0,0
"McCarthey, S",6,12,6,5,2
"Thorstensson Da, L",5,6,1,4,0
"Augoustakis, A",5,8,3,0,2
"Sanders, K",10,7,1,6,1
"Cornell, M",2,6,6,4,3
"Stanull, J",10,10,2,5,2
"Moist, J",1,13,3,0,3
"DeVinney, D",14,13,3,3,0
"Van Duyn, E",13,6,2,6,2
"Gipson, B",3,12,1,4,2
"Zilles, J",1,3,5,0,2
"Dokoohaki, H",4,3,6,0,0
"Zhou, Q",8,12,6,1,2
"Misailovic, S",3,9,4,5,0
"Lane, H",14,8,2,0,3
"Li, B",10,13,5,3,3
"Karahalios, K",14,4,2,1,2
"Calderwood, E",5,2,2,1,0
"Taavon, M",11,3,4,3,3
"McDowell, S",6,7,4,1,1
"Zhang, B",1,3,6,5,0
"Zeng, H",4,2,5,0,1
"Makela, J",10,13,1,2,3
"Fang, K",10,6,4,0,2
"Bhat, S",7,3,1,5,3
"Lee, M",4,3,5,0,0
"Gross, G",9,10,3,5,0
"Leburton, J",8,2,6,2,1
"Song, P",13,1,4,2,0
"Miller, A",14,2,3,0,3
"Chen, Y",3,7,3,1,3
"Yedomiffi, M",12,8,1,6,0
"Lu, C",5,9,5,5,1
"Violaris, A",2,13,1,0,2
"Kyriazis, A",11,10,5,6,0
"Ghosh, A",2,1,4,5,3
"Hong, S",9,6,5,4,0
"Kleemans, M",14,8,4,2,2
"Krasa, S",13,11,1,1,1
"Squarize Chagas, L",5,12,2,5,1
"Thakur, P",6,2,5,0,1
"Lemus Encalada, J",3,13,1,1,3
"Bartik, A",6,12,5,4,2
"Bradley, J",5,10,2,3,3
"McCullough, A",11,13,3,3,0
"Gadbury, J",5,5,5,2,3
"Anthony, C",13,12,1,2,3
"Sherwood, R",11,11,6,6,3
"Ellis, H",5,9,6,3,3
"Barrett, R",1,8,6,3,1
"Johnson, J",8,8,1,0,0
"McDuffie, K",3,5,2,6,2
"Pokimica, J",3,6,1,5,1
"Herman, T",0,8,3,5,2
"Ogunfemi, N",2,6,6,6,0
"Williams, B",7,13,5,5,0
"Christianson, K",4,2,1,4,0
"Napolitano, C",8,6,5,6,2
"Briggs, M",2,7,6,4,3
"Choi, J",12,13,3,4,2
"Beard, D",6,11,3,5,2
"Weisbenner, S",1,8,6,5,0
"Lyu, F",13,12,5,2,1
"Cao, Z",13,1,1,0,1
"Veldhuizen, H",5,2,6,1,3
"Altaner, S",10,9,3,3,0
"Chen, M",2,4,4,0,0
"Slattery, J",1,8,4,3,3
"Kim, J",13,4,6,3,2
"Robinson, A",3,9,4,2,2
"Flack, C",9,1,4,4,2
"Farr, T",0,4,6,5,1
"Almanza, D",9,7,2,1,3
"Arnold, J",3,2,4,2,0
"Tarjanyi, P",4,2,3,3,3
"Flynn, K",7,5,4,0,0
"Theisen-Raub, J",13,6,6,4,0
"Zylstra, P",2,8,6,5,0
"Natale, M",6,13,1,0,1
"MacDonald, O",14,6,5,4,0
"Lerner-Wright, C",1,2,1,3,1
"Ruiz, M",14,12,2,5,1
"Oberdeck, K",7,3,6,2,2
"Fortado, S",6,9,4,1,2
"Barrett, M",0,5,6,2,3
"Wilson, R",8,6,4,5,0
"Harmon-Threatt, A",13,4,1,6,3
"Marshall-Colon, A",0,8,3,0,1
"Dalling, J",14,4,2,5,0
"Miller, D",1,5,6,6,3
"Whitfield, J",8,8,2,4,1
"Hanks, L",5,13,6,0,3
"Cottrell, B",14,9,4,3,2
"Chen, X",14,4,2,0,0
"Haberman, M",2,1,4,1,2
"Torres, T",11,8,2,4,1
"Gan, R",13,6,3,2,0
"Myers, C",3,9,3,2,2
"Nappo, C",12,10,1,4,2
"Green, B",2,2,4,3,2
"Tilley, C",9,1,5,2,1
"Jones, J",4,6,2,4,2
"Houston, J",3,7,1,5,2
"Sotirovic, M",10,1,6,6,0
"Wilund, K",10,5,5,4,1
"Meinert, C",4,5,5,0,2
"Richards, K",3,6,6,3,3
"Carlson, K",4,8,6,6,3
"Lee, C",13,8,2,1,2
"Sears, S",10,3,5,2,3
"Franks, C",2,13,5,5,1
"McGuire, M",10,7,2,2,2
"Kiran, S",7,1,3,1,1
"Loidl, V",5,1,3,2,0
"Oyewunmi, M",9,8,2,1,0
"Akinrinola, A",3,11,4,6,0
"Moodie, E",5,5,2,2,3
"Etienne, M",7,12,3,5,0
"Davidson, S",9,2,4,0,2
"Lambert, J",10,9,1,6,3
"Szala, S",11,8,2,0,3
"Bilz, K",2,4,4,3,3
"Yabe, K",0,1,1,6,0
"Macke, T",2,6,1,1,3
"Cardador, M",10,4,2,2,3
"Hualde, J",9,12,1,3,1
"Adams, C",3,10,3,0,2
"Shosted, R",9,9,4,3,2
"Lira, N",4,6,4,3,3
"Krishna, K",7,11,1,1,0
"Pyo, Y",7,6,3,2,1
"Das, S",7,1,6,4,3
"Zeck, S",6,6,3,5,1
"Dao, Q",9,11,4,6,1
"Govindarajan, A",13,12,2,3,1
"Stojanoska, V",13,6,3,6,0
"Heller, J",4,6,6,1,0
"Yang, Z",9,1,6,5,3
"Dodd, C",10,13,4,2,1
"Junge, M",2,2,6,0,1
"La Nave, G",11,11,4,0,1
"Ahlgren, S",0,11,1,5,1
"Prasanth, S",5,13,4,6,3
"Clark, K",3,3,6,1,3
"Ravi, S",13,1,3,4,2
"Hsiao-Wecksler, E",0,8,2,0,3
"Kapoor, S",14,12,3,0,2
"James, K",12,8,6,2,2
"Wissa, A",14,3,6,5,0
"Trinkle, D",0,12,2,3,2
"Rangel-Camacho, V",3,12,3,5,3
"Tsekouras, I",6,5,6,2,1
"Borcherding, C",8,6,5,5,2
"Tharp, R",8,5,6,1,2
"Taube, H",9,5,5,4,1
"Peterson, S",13,12,5,4,3
"Lynch, L",4,4,6,6,3
"Guan, K",7,12,5,5,2
"Suski, C",2,5,1,6,3
"McSweeney, K",7,1,5,0,1
"Ben Moshe, N",12,1,4,6,3
"Varden, H",2,2,4,2,3
"Stone, M",0,10,2,4,0
"Draper, P",13,9,2,3,0
"Cooper, S",10,4,3,4,2
"Leigh, R",6,8,5,6,0
"Webb Williams, N",13,3,2,4,0
"Cho, W",8,5,2,6,1
"Olshan, S",13,6,6,6,3
"Berson, T",10,1,4,2,1
"Guingrich, A",3,12,2,0,0
"Caumiant, E",10,1,6,0,3
"Siler, J",7,5,1,3,3
"Quasebarth, A",13,1,2,5,3
"Clint, E",8,2,6,3,1
"Lu, Y",1,11,3,4,0
"Cho, H",3,2,6,3,2
"Chen, F",8,6,6,4,2
"Dai, W",4,9,5,4,2
"Vogt, R",9,6,4,2,2
"Sbrilli, M",10,12,5,2,1
"Hohl, K",8,8,4,0,2
"Kemp, K",13,13,5,4,3
"Perriello, C",11,13,2,0,0
"Li, M",2,6,6,4,2
"Weiner, D",3,4,4,2,2
"Cohen, J",3,1,2,1,1
"Graham, J",10,7,1,4,3
"Menard, C",3,4,2,5,3
"Stern, C",8,3,5,4,3
"Beck, D",4,13,3,2,2
"Chen, Y",4,8,1,6,1
"Chmiel, A",13,13,4,6,0
"Rosenstock, B",11,3,3,1,0
"Lloyd, N",3,10,4,4,2
"Boyle, E",1,5,6,6,0
"Katz, M",6,2,2,6,2
"Jang, I",14,4,4,4,2
"Welty-Peachey, J",8,11,5,2,0
"Hoefig, V",1,6,5,5,1
"Spencer, G",8,12,1,6,0
"Ishikawa, K",8,1,3,0,0
"O'Neill, B",7,9,5,3,3
"Houston, E",6,4,4,1,2
"Sinha, G",9,11,2,6,1
"Giers, D",11,7,1,1,2
"Li, H",12,5,6,5,1
"Shepke, F",11,8,4,3,3
"Song, E",12,7,3,1,3
"Shin, O",4,10,2,1,1
"Mulvey, P",10,11,5,4,0
"Bandin, Y",12,4,1,6,0
"Andrews, L",7,2,5,2,2
"Nguyen, H",6,2,1,6,0
"Thode, J",8,7,6,2,3
"Harbourt, C",7,2,4,4,3
"Chopra, S",1,10,1,6,0
"Bright, L",8,7,5,2,1
"Munoz, A",5,7,5,5,2
"Greenlee, A",7,8,6,6,3
"Kennedy, S",14,11,3,4,2
"Boonsripaisal, S",2,9,2,6,3
"Kang, Y",4,11,6,6,0
"Horton, C",11,5,2,2,2
"Tabares, L",9,2,3,0,0
"Rana, J",4,2,1,4,2
"Davis, G",8,8,1,6,0
"Hepp, J",9,4,2,2,0
"Koo, S",8,8,6,1,0
"Gramig, B",9,7,6,1,1
"Gundersen, C",13,2,1,2,0
"Crost, B",2,1,1,0,2
"Anderson, P",10,12,5,0,3
"Ellison, B",2,6,5,0,3
"Myers, E",7,13,1,4,1
